"cpg","logFC","P.Value"
"cg06761793",8.54568541348167e-05,0.517190229046671
"cg17271960",0.00078600874496249,0.0494568709200582
"cg15558634",-0.000193801319861422,0.430937371726592
"cg10124011",-0.00146120131053503,0.47070801768334
"cg24688574",0.00140865817717097,0.0984864418039931
"cg00853237",0.000767268212788399,0.856357014977427
"cg10628909",0.00166990765321402,0.179056467790061
"cg14027380",0.000516888781633584,0.687276876303312
"cg15260978",0.000896434600419216,0.557617560875523
"cg08122070",0.00163261604476315,0.125497853173173
"cg26421735",0.000200828348008115,0.251511068158211
"cg02769781",0.00344600727607293,0.476653249054024
"cg16989443",0.000493947093568135,0.629397520341568
"cg15496744",0.000713916814700782,0.111561306662823
"cg22865286",-0.000222773202053318,0.751369229499851
"cg01428437",-0.00189556241332095,0.323249869079746
"cg18383977",-0.00105713581931667,0.263889714846097
"cg02367828",4.46846840534542e-05,0.971724992839576
"cg07719258",-0.000239843411647705,0.918381987962593
"cg16573863",-0.00785798721649006,0.0407586675277262
"cg08730434",0.00239769931923843,0.192118488762131
"cg16388674",-0.000221814478834838,0.260812908500767
"cg15622118",-0.00337669114081724,0.0810010116875581
"cg04847273",0.00214566184313172,0.360036863220785
"cg09767587",-0.0082182760122356,0.0216157789054213
"cg22627876",0.000526627883553888,0.348724839763767
"cg08108679",0.00216097370592394,0.187250801714953
"cg11835265",-0.000680880448282986,0.188592659187442
"cg25304754",-0.00116294056819362,0.488162543567702
"cg12764620",0.000281660330698394,0.732834355928744
"cg08651178",-0.00012302308959599,0.875186882255965
"cg15550572",0.000514303257394049,0.37425252222394
"cg09225489",4.1933524950149e-05,0.980472526078102
"cg17156349",0.000303684136063658,0.774128045015344
"cg24700472",0.00038913825814317,0.736358344194959
"cg23441090",0.000467795478344298,0.10824095015603
"cg14856698",0.0057238030088675,0.0881528914338649
"cg00656881",0.000332046507501634,0.86024478006318
"cg07048210",-0.000143391186470368,0.888970351454705
"cg06382459",0.000284890127762474,0.376436642216796
"cg17165158",-7.89798274130606e-05,0.53089296377325
"cg06815887",-0.000397338169634079,0.511194180659595
"cg26687579",0.00193543324963223,0.541345133424368
"cg16330535",0.00237056649876018,0.236265171169468
"cg16600733",0.000167151306818584,0.560555353024348
"cg10521034",-0.00204136921368659,0.0256423666899359
"cg07087919",-0.00027388642306963,0.734371231322187
"cg16590777",0.000373624061546837,0.496349414792152
"cg16272425",-0.00171160763016091,0.0125108166089504
"cg23928726",-0.00576856341111029,0.0955938631462086
"cg14373988",0.000133548487514334,0.953722394941262
"cg06749803",0.00405184924418003,0.0190871882469448
"cg25880537",0.00249524149298194,0.570140560201318
"cg19760917",-0.000484103899195868,0.631304757649783
"cg16987365",3.50699623318251e-05,0.958259171543409
"cg02483661",0.00310422339171941,0.444786084831393
"cg12582330",0.00247787568021508,0.41738581491562
"cg01051642",0.000887048499561136,0.135536136112398
"cg16599266",0.00028189718850826,0.374149490644182
"cg12100411",-0.000106753072881182,0.954358597571386
"cg25190491",0.000120164822742908,0.719241967926896
"cg19633487",-0.000223162032534878,0.627636075693844
"cg17740752",0.00154281499069474,0.502125158230742
"cg16160182",0.00182505441244806,0.339796044264496
"cg01004918",0.00128350150918424,0.384967817857398
"cg22486046",-3.31041924641691e-05,0.969342351217572
"cg03039243",0.000879277883356289,0.753965043486013
"cg15522425",-0.00770287884989773,0.0164716580317875
"cg14790876",-0.00315427675364537,0.453035719859623
"cg13874287",-3.66100133648861e-05,0.861719283714095
"cg17827148",0.000455566534816422,0.767722462762644
"cg20849957",-0.000657664672388886,0.544506040533641
"cg05000860",-3.29039694099605e-05,0.933287335812144
"cg10812027",-0.00178834043229898,0.283243722480864
"cg24741158",0.0140923834764138,2.20691964985253e-05
"cg06836656",0.00140794266285934,0.339583967778381
"cg20848343",-0.000298368847934959,0.888478827879594
"cg09938406",0.000840960488760588,0.134995449622562
"cg00500221",-0.00221951928249872,0.026890623697935
"cg12710637",-0.00037575578152,0.618050910026928
"cg03296283",-0.00440194495768058,0.0397181841429139
"cg00829990",-0.00194927739187304,0.669173842602179
"cg10802480",0.00239788641552294,0.218513622990417
"cg00945293",-0.000119349439793056,0.617182128346958
"cg25152368",0.000378407137036505,0.471765762751593
"cg22726349",-0.00442973442075454,0.125688187347357
"cg06773295",-0.000346132466096281,0.469712786096881
"cg03583979",-0.000178228690032957,0.875408606178608
"cg01772149",0.000143303806287568,0.774413047180247
"cg00049709",-0.00379906431171477,0.00130387330326135
"cg16926445",-0.00506299932665241,0.0619649037912427
"cg21692930",-0.000611363554460758,0.248342330434652
"cg14561530",-0.000314770347813463,0.841688194212469
"cg04988794",0.000307182206501593,0.78050909862597
"cg15619820",-0.000208332348391503,0.143117085051875
"cg05628625",5.77347995386488e-05,0.952965965412679
"cg26513591",0.00176404490993301,0.215241287449424
"cg12141662",-0.00213546948115844,0.0352925670930446
"cg02067098",-0.000663147626547717,0.63494358707568
"cg23034362",-0.00683608385313303,0.00133285171442528
"cg02295527",0.00150643052940296,0.246723213946253
"cg10391102",-0.00188927470713436,0.592985847988965
"cg14659814",0.00494390358579113,0.017753717152722
"cg21848084",-0.00159379835086226,0.614348564324281
"cg12635919",-0.00807569226867953,0.0142975190760247
"cg12578250",0.00113645347214651,0.238220801326969
"cg15900998",0.00164322793662196,0.407635171467451
"cg09180894",0.00247108585816119,0.643284170247081
"cg12097441",0.00301550719715944,0.132197854556574
"cg10020040",0.00866509499844343,0.000183154752117693
"cg03114471",-0.00684650064563221,0.0301513676784346
"cg23090396",-0.000357018770357631,0.525900323963362
"cg21212196",0.000431274063224606,0.561949648946012
"cg04391135",0.00553299021159127,0.254363470337975
"cg23108037",0.000444949535576783,0.694090475997167
"cg18794426",-0.000436791180074858,0.449013114164224
"cg16741710",0.00153552243407282,0.387799666559361
"cg11226808",0.000137106184942048,0.956242839063663
"cg02924487",-0.000574403065106031,0.825300412123058
"cg15057442",0.000139101180481764,0.479040889962387
"cg00965121",-0.00339257895724069,0.282874103436569
"cg09357795",-0.000349549420915037,0.687339576763855
"cg27446570",-0.00143172756729249,0.210808250644474
"cg25762395",7.24347897094356e-05,0.885658548551943
"cg16679832",0.000102191914330213,0.74090939304776
"cg15061827",0.00528600965176715,0.000128845037134937
"cg08847614",0.00149495846071036,0.234913943767494
"cg00542775",6.62046653875949e-05,0.803726161420136
"cg21813377",0.0039495451262043,0.0797885311871105
"cg22040874",-6.59773878920982e-05,0.955509478856179
"cg01720475",0.000167057911239129,0.634413279871913
"cg26840333",0.00706113434282349,0.479541287689495
"cg02483484",-0.000333899149053877,0.249845564844256
"cg26525076",0.00010987172174809,0.726797621826692
"cg11408632",-0.0389522702537893,2.50113137669359e-05
"cg13067635",9.17240447490034e-05,0.890987254794683
"cg03955334",0.00503442626033028,0.0347063869834387
"cg16512667",0.000175013220257213,0.919752351141099
"cg24864189",-0.000644840194488956,0.758511176883575
"cg22530668",0.00212956414728082,0.271088686784267
"cg21010995",-0.000513592595595152,0.639814751353763
"cg07015749",0.0237910420443226,0.0017353842515432
"cg00043790",0.000216304953379241,0.893578134515456
"cg02448796",0.00103076830776794,0.235420185941786
"cg26300857",-0.00309133980001403,0.576935807278449
"cg00252804",-0.0105743354739191,0.00158744604721059
"cg23394916",0.00468946638479466,0.0509705277268729
"cg26935168",0.000319804533277677,0.915409868249067
"cg03734402",1.68660681245301e-05,0.970395012982496
"cg04055049",-0.00100165065448865,0.497919983295146
"cg19308185",-1.75696069581086e-05,0.974372849146911
"cg24601967",0.000774312860121974,0.484383731488272
"cg13549940",0.00676344798591782,0.105191048704262
"cg10770046",-0.000622202102197451,0.318856036358439
"cg05786314",-0.00098170933417433,0.795712046149426
"cg05127153",0.00250779267220297,0.0156802397016758
"cg14832908",0.00841727474307147,3.72420079879974e-08
"cg17826013",-1.03426504753064e-05,0.932622510126395
"cg01715088",-0.00047922909420653,0.597773127459327
"cg02988775",0.00379356873447053,0.24928572272242
"cg11756870",0.000274247568118229,0.886335981036285
"cg10177059",-0.00335636260843656,0.157357104533811
"cg17329304",0.00264117301777925,0.00329245543910708
"cg09805709",0.000864273102944054,0.547292453913394
"cg01514859",0.00034728303637718,0.255633988216803
"cg10700634",0.000628135475504461,0.664520680934946
"cg24328740",0.00024682862690334,0.831886875141148
"cg14823363",0.00308379345944323,0.180494814602639
"cg11688219",0.00112360193258428,0.276082930859689
"cg19820248",0.000747625507790016,0.0305420754152759
"cg07605269",-0.00211675704309101,0.439046093312925
"cg05129050",0.0155390551915304,0.000211603393432653
"cg03765258",0.00219089996060872,0.432425450929446
"cg17079374",-0.000664960405363262,0.737331926242867
"cg19726343",0.000531580080751379,0.680890872399021
"cg13202213",0.00297623915174557,0.274833489648342
"cg13873655",0.00186790549230802,0.341864514370947
"cg07344096",0.000487084515566591,0.852789646759146
"cg17081408",-0.000122072989594888,0.707703383936258
"cg25132484",-0.000681260038149114,0.184271315916366
"cg00703019",3.16178795699793e-05,0.96335935933134
"cg08926642",-0.00657061289295297,0.326208554317349
"cg00019458",0.000200909094537588,0.88109928123768
"cg11668188",0.000571429892654196,0.376469998853839
"cg14531038",0.000119848294239433,0.798797023114708
"cg18165065",0.00252522267348622,0.305796892650275
"cg00258316",0.000554218974295903,0.887706650120157
"cg25606046",0.000561206152166678,0.519680061566029
"cg07958878",-0.000215680150483902,0.798210622567824
"cg03040581",0.0012352959837517,0.496304830848867
"cg09787123",0.000649362892454591,0.171174596903866
"cg25767112",-0.000221357383322477,0.699117918912144
"cg15554087",0.00175340060253737,0.0483127345687313
"cg05658549",0.00281029382641296,0.116859266302016
"cg26816583",0.00706369211966101,0.0233158866162223
"cg13081009",0.00181749813107931,0.0517916574820538
"cg21774136",-0.00375235075836875,0.295593188132645
"cg12764441",-0.00400179645533487,0.44261232948721
"cg15997770",0.000717539984462415,0.681891276747562
"cg27305255",0.00201013567294691,0.279705605321145
"cg18269493",0.00163219884259538,0.0874420268545983
"cg10589840",-5.79585249484074e-05,0.940705778415782
"cg20325800",-0.000593607521746206,0.565780592443642
"cg10313368",0.00338038374025815,0.247319822887035
"cg25849281",-0.00801270679440667,0.356938398588934
"cg25919221",-0.000686702559268215,0.936618357178077
"cg02497830",-0.000830772390109865,0.44867727738236
"cg17786659",0.00775591886053694,0.032160334685948
"cg24501230",0.000262715649845097,0.908250716394914
"cg14418802",-0.00199752070960716,0.0356645990098301
"cg01804500",-0.0003045391388568,0.768583873799881
"cg19285508",7.30559597033934e-05,0.955615696068541
"cg10526795",-0.000705374569344648,0.736543777603641
"cg09468328",0.000697315556493893,0.786010816198223
"cg11826452",0.00407491303536102,0.0254887352854438
"cg12224834",0.000575428656368557,0.813635249195146
"cg22427575",0.000153425232937195,0.893675862123852
"cg23098018",-0.00443333340248316,0.192736172626792
"cg27553947",0.00289186474123424,0.696990716179722
"cg00123104",-0.00221681829150825,0.550682929678232
"cg24003955",0.00206793861643264,0.666424512150647
"cg11396313",-0.000697442419710281,0.784116091681006
"cg27566521",-0.000183550286182356,0.68314870507329
"cg15591198",0.000572876910959101,0.393153279671486
"cg23036426",0.00101283747673451,0.0690312116734972
"cg13374225",0.00222802373539872,0.0127674323477804
"ch.1.374405F",-0.000279869602707781,0.497604039306315
"cg03517919",-0.00473677962914979,0.0904836420149859
"cg26896979",-0.00052388490390086,0.873272618584551
"cg05951776",0.000431255019714079,0.778808691787392
"cg01834541",0.000735542321767106,0.495463860240982
"cg16574154",0.000171554494573091,0.777229142534212
"cg10797798",-6.23702843401513e-05,0.9500840250222
"cg16057915",-0.000113531562048656,0.833676848971859
"cg07357157",-0.00268052009698608,0.187980217556242
"cg11344572",-0.00169276982529291,0.183709315150748
"cg10816626",-0.00391854928033153,0.0878043506137925
"cg20452711",0.000555147516704544,0.549771108034351
"cg10582871",0.00141395519657192,0.310470199254914
"cg14206273",0.000899183524012691,0.710552347091019
"cg20462360",-0.00418557676148321,0.213607875895095
"cg11949866",-0.00241578160148002,0.281266653768747
"cg22800477",0.000599892652209474,0.734241889904587
"cg26839728",0.00115297845589273,0.155029156337975
"cg25013303",0.00218327641133456,0.202078078897088
"cg15078958",0.000330544041572044,0.943403998101138
"cg19081470",0.00230789093967668,0.0773925226686588
"cg14853169",-0.00195557864126757,0.609639049589762
"cg04872475",0.000648879616626675,0.238128228765601
"cg24726995",0.000140038672027818,0.481577909677213
"cg07190630",-0.00179050852315502,0.596789416394696
"cg23672425",-0.000382243255402134,0.299074130357804
"cg11949874",0.00208666447793108,0.37784620866452
"cg26258588",0.000719296082435709,0.524430290220201
"cg13193548",-0.000118462427171758,0.599005231692979
"cg22687413",-0.000351597951136738,0.423106143130864
"cg03498897",0.00189856933442465,0.420667788210596
"cg27396830",-0.000466889448278802,0.299821982042257
"cg18285337",-0.0207018850650424,0.362171473180956
"cg06322619",0.000167172750897769,0.555872139731508
"cg08869383",0.000654405524955916,0.152647257282347
"cg01134491",0.000547983906505947,0.163086198580469
"cg14032528",0.000506156764106421,0.165649994054445
"cg27058244",0.00043239482564399,0.679842757726863
"cg05757654",0.000415799317074625,0.693766590825012
"cg01005303",0.00823675647031833,0.0721713900030871
"cg22377027",4.13985828869047e-05,0.81961706420922
"cg13216073",-0.000499854183638631,0.367624381356321
"cg15059389",0.000525994481288084,0.763935794325749
"cg23990236",-0.000177023217359696,0.858108138094644
"cg01250490",-0.000333299059101325,0.67790288054814
"cg13941027",-0.00096118072766829,0.631704766038388
"cg15109449",0.00265454057240391,0.44097484815543
"cg18139406",-0.00234233375926426,0.0300732909726248
"cg19263548",0.000987761780872232,0.329956496936128
"cg21944767",-0.00070249646200153,0.449302421228654
"cg13989455",-0.00016513106788463,0.721201063651759
"cg10523319",-0.000264143815609297,0.780347599887112
"cg16098227",-0.00162883008787329,0.758602915978746
"cg00961139",0.00528002792215903,0.0218574150803522
"cg03523254",-0.00043703582949017,0.891205107630212
"cg23803120",0.000226074362752503,0.619867804244897
"cg25104105",-0.000972145317239331,0.157420905554381
"cg04609090",-0.000837417165438824,0.531277300622768
"cg25307521",0.0770196665526665,6.20936572034099e-08
"cg24545979",0.000697532479555158,0.553014850274963
"cg10761807",-0.00256208179575012,0.127964274332385
"cg00866953",8.79957509521615e-05,0.941937329203798
"cg20746795",0.00126072252748971,0.72230972266086
"cg17015937",0.000129054093913231,0.715641034365356
"cg20811856",-0.00566331760662639,0.10940800587254
"cg00772714",0.00512105822913706,0.0638024123768451
"cg25025297",0.000262728301995663,0.861549910263146
"cg05385377",0.000608952156520651,0.720425369958888
"cg21616031",0.00220261069945299,0.397387847157962
"cg06207778",0.0050237202086826,0.0622656212474508
"cg08471734",0.000421910116423607,0.160810131686948
"cg05058263",5.83976869184384e-05,0.852581173112122
"cg02485345",-0.000272390510750198,0.520805560177219
"cg25363046",0.00121904602597419,0.115943363501887
"cg23628968",-8.55491706827629e-06,0.98588768112005
"cg15500658",0.000178421378228362,0.549064967115906
"cg05653691",2.53966920341052e-05,0.881222716425334
"cg00702307",0.000523058522437574,0.457096920232308
"cg21421278",-0.000293928616655397,0.736175017266197
"cg13770446",-0.00267808247308599,0.431135744879131
"cg02634641",0.000454237318015781,0.480795464637971
"cg17944189",0.0018464381741827,0.0640731758492804
"cg07959609",-0.00101002763535958,0.146259428284608
"cg27525524",0.0027271961974577,0.13445872598165
"cg24494577",0.000200126226569302,0.89614498003528
"cg16886895",0.000169807589966371,0.786839970355359
"cg09063663",0.00199073238407484,0.371083715863697
"cg06365898",0.000997049279083691,0.700941440536806
"cg04158049",0.000431404885826685,0.807265866417207
"cg04017052",0.000387282959854117,0.514440641038709
"cg02974484",0.00125172059922197,0.687846002516037
"cg12584510",0.00202767102641013,0.384000601926626
"cg06649681",0.000224385639074658,0.945893356258681
"cg17463959",0.00455842500013215,0.352317337538332
"cg25215437",-0.000603134423418046,0.702349222685888
"cg01828661",0.0035636353669058,0.111668145771875
"cg14237550",0.00106370277498616,0.536574359770257
"cg01055135",0.00391668238022874,0.0569839247148328
"cg08912841",-0.00191972301234864,0.202742300786399
"cg04861793",0.000434544032328304,0.698182678603969
"cg00329656",-0.00469952737780198,0.293908119937571
"cg04786201",-0.000140796216554808,0.944104111989662
"cg15907146",0.004821759235678,0.143797870473972
"cg24678241",-0.00624515539431769,0.281610617487732
"cg24607814",-0.0107690957248127,0.0233166255061135
"cg07319253",0.000787967860288221,0.295002705102669
"cg17513697",0.000368960978871044,0.601730886110176
"cg19306948",0.00445262533912371,0.109319527890891
"cg22159947",-8.17909194786444e-05,0.900006782770839
"cg22193702",0.00185439030040233,0.153464643529684
"cg07968520",-0.000194438718940529,0.878114840490768
"cg15995125",-0.000840746579021058,0.757966811228722
"cg17918090",0.000302347537346744,0.458636164695113
"cg01695892",0.000111385206026922,0.785942475215321
"cg17078864",0.00148878229131165,0.48950162597686
"cg20699305",-0.00720643412052579,0.0230633494899705
"cg03993263",-0.000884855059660307,0.493559148938602
"cg08244959",-9.93332712971079e-06,0.980953667452269
"cg08885927",0.000821706096967961,0.528084327256407
"cg13840174",-0.00322639546778957,0.401465897340404
"cg06662140",-0.00518444006886654,0.0994833715734194
"cg08126203",-0.000530812195817104,0.685593594074672
"cg05763032",-0.000204305878066154,0.773714200784445
"cg23132469",0.00234114969659479,0.290922410413367
"cg03754153",-0.00212874853228996,0.356364219074342
"cg10231067",0.00111507173702282,0.192632309664168
"cg22867719",-0.00243280913295317,0.571833516133643
"cg24405951",0.00363263928419399,0.331488282754179
"cg18026264",0.000246266522851584,0.436280186982618
"cg26547761",8.82987109478463e-05,0.608107948889639
"cg17906803",-0.000543915681631239,0.503805465987713
"cg09045262",0.00616372175590221,0.0770453117042801
"cg05937630",-0.000792905771455035,0.180063149624723
"cg12065228",0.00255996426554131,0.43103195694932
"cg12424867",0.000129435019348834,0.92926658673969
"cg06788764",-0.000964129772973122,0.578732808168002
"cg24671886",-0.000136163495037219,0.893726189588727
"cg01832549",0.00650218920073244,0.011501659508794
"cg03654273",0.00122559010434367,0.0773420690257235
"cg13550729",0.00160308635329357,0.167701295358459
"cg01468656",2.18923477955709e-05,0.991585014625188
"cg11247289",-0.00040626623477146,0.430627227438283
"cg03056854",0.00167715877648899,0.452125243713996
"cg25276126",-0.00137182277853531,0.286639699935748
"cg09138671",0.000603832381123092,0.864230185108994
"cg01441698",0.00207319510696613,0.44062268037188
"cg19521927",0.00022878073883704,0.731638921116446
"cg07792006",0.00549685321037156,0.0694845858319444
"cg03167763",-0.000987924588108885,0.469324550576788
"cg13463492",0.00393668344342577,0.0439821137766067
"cg02873528",-0.00749077750818636,0.00411169596423059
"cg23662331",-0.00212483178726544,0.489797658952652
"cg04415114",-0.00385285780757496,0.0389299750825195
"cg05773309",0.000334897644278011,0.897237694708761
"cg22214335",0.0013492689204474,0.560803883115895
"cg00980178",0.000307437791192718,0.241356910162617
"cg24294857",0.000959529087188817,0.714441826929582
"cg05301811",-0.000689409658923564,0.569564201526569
"cg15142222",-0.000876042313410455,0.584838625722151
"cg17900103",-0.000293829210821651,0.721589163665937
"cg26407544",0.00469937771724517,0.0397298975808357
"cg20694964",0.000432012530775624,0.530719483615365
"cg21499909",0.000982502714782145,0.236861618524221
"cg08911391",0.000140665319101161,0.949134212663398
"cg18191259",-0.00145599152665205,0.195682812167831
"cg21184320",-0.0027562338087073,0.403748502903889
"cg21382923",0.0103553743006892,1.49887878236535e-05
"cg00577361",-0.000206563601233263,0.450190397059434
"cg11391510",-0.000345486657158754,0.547325850846613
"cg07133269",-0.000878821365944022,0.275423997933239
"cg17850498",0.00635394131340921,0.000958020477850487
"cg26348226",0.00103166327075142,0.791550808821563
"cg01977520",0.00139140655664503,0.391131350870457
"cg07996532",0.000976650684039346,0.800871835039976
"cg25215028",-0.00941744972989764,0.0319906932174214
"cg04346228",-5.34482912591157e-05,0.624705274466348
"cg03727673",-6.71292894619296e-05,0.96984827050688
"cg01723876",0.000952472830330784,0.671914185027444
"cg17184245",0.00140834043981331,0.603082108158518
"cg00574196",0.0020454671674652,0.701238929863423
"cg05789637",0.000748815252893119,0.729211909265684
"cg16384073",0.000914682439186456,0.182797748791515
"cg13430401",0.000387423886913225,0.650207900762184
"cg12257830",0.00301231413506031,0.227125439344314
"cg11345909",-0.000564994180557054,0.421906293647202
"cg23979451",-0.000151105636448938,0.460024740719568
"cg05600023",-0.00244033052491033,0.0190070802225847
"cg17022577",0.000961952999358492,0.664749053802639
"cg06794253",0.000250943150421326,0.493903092092787
"cg02847589",0.000704403659237958,0.201934936467181
"cg01628425",0.00426129549597887,0.0196815405299185
"cg05266226",-0.00778158183994376,0.0400412015609799
"cg22493620",0.000465390832154237,0.801183755631131
"cg17104151",0.00752716673643128,0.00110041360559691
"cg01970575",0.00171525183652404,0.168150537215103
"cg00650762",0.00330218977045737,0.347355215983451
"cg04233054",0.00298195701471328,0.302373843796015
"cg04886391",-1.27704913141266e-05,0.949496810088265
"cg15897613",-1.24501791749903e-05,0.982422296760223
"cg06322891",0.00113116834817081,0.466240467718829
"cg15484742",-0.00713593441402734,0.0084617989128707
"cg08718097",9.41073858992843e-05,0.869671044493881
"cg21921022",-0.000680117276078697,0.655343341821507
"cg24038158",0.000272564406336798,0.706680664952378
"cg24580199",-0.00875696177325344,0.0122171106109418
"cg26256901",0.00418273811704304,0.411818503948287
"cg10498717",0.000600034175681068,0.221723086073787
"cg10961323",-0.000451655827691185,0.879635601909333
"cg03611151",0.00225105538083685,0.634697847503386
"cg07595346",-0.00104707517793783,0.777784629047386
"cg00810939",0.00235937651148666,0.0135738982836002
"cg11576349",0.000295661825192702,0.924554653554591
"cg13976753",-0.000485179718436608,0.567780646420547
"cg23264525",-0.000179380538775352,0.633874262575679
"cg08656267",0.000348515731593257,0.482023097429427
"cg18323236",0.00880093071569715,0.0742535834834688
"cg17854320",-0.00245630054011271,0.344475134980813
"cg01768001",-0.00203543502257353,0.643253329596924
"cg03655701",0.00386952496925248,0.414842501007683
"cg20799547",6.09703683539335e-05,0.802418637174044
"cg22517681",-0.000898340145712547,0.145989263311837
"cg00035000",0.000550226153246162,0.418500766190572
"ch.1.839062R",0.00301873582624067,0.208244669479194
"cg09993145",-0.000411886417358503,0.281034907605459
"cg03603018",-6.32391562569349e-05,0.935312477577016
"cg20809693",1.26192495189334e-05,0.961151096449007
"cg10823086",0.000389519505314853,0.302647255014046
"cg12412775",0.00173292132875079,0.198935439386626
"cg09264742",-0.000338327566642141,0.719477971604176
"cg20464072",-0.000591791884742965,0.617901026930247
"cg26812481",0.000632985174744305,0.469000358740142
"cg22125902",-0.00268041352742511,0.620005333145952
"cg04116354",-0.00314485437266741,0.428343363670124
"cg23799313",0.00380253403795506,0.221359888093987
"cg06631999",-0.00383058815165463,0.150833487061323
"cg23236404",9.56547370221488e-05,0.635643834978268
"cg02858843",0.000388918565235104,0.19721372610905
"cg17753661",-0.00587418495304307,0.554508819378249
"cg13690126",0.00108791694879702,0.281684880402559
"ch.1.876374R",0.00296774680275404,0.0691777827719508
"cg01943692",-0.00128698844414881,0.740735850615262
"cg19084589",-0.00114003769767776,0.439437551030258
"cg17836940",-5.07493302076866e-05,0.753996369185522
"cg05304531",-0.00138885439936812,0.722565572799071
"cg10577937",9.86710455892281e-05,0.698517613951458
"cg10800585",7.92815634093892e-05,0.639507229199905
"cg01298304",0.000808265749808848,0.481784894965212
"cg16352283",0.0042833141040148,0.037912201051034
"cg20816789",0.00552734106252178,0.00752003128134309
"cg25098478",0.00111847945711589,0.44137376682251
"cg26313337",-0.000408286140339958,0.821419575862704
"cg22367705",0.00923048790068797,0.346601566201785
"cg23227697",0.000136506873832369,0.872529990471279
"cg16968115",9.64159021603065e-05,0.789555782943267
"cg08459369",0.000524432468083051,0.1693362973498
"cg06361006",0.000540898432781211,0.497917215676249
"cg14963371",-0.000128940120282373,0.956205373817937
"cg19937493",0.00100916930891396,0.136145903511284
"cg13917151",0.00542046249788965,0.0677612038797816
"cg15072832",0.0078829043389073,0.00509770404741136
"cg16020249",-0.000609257631593592,0.724407670918167
"cg00667000",4.36325750155041e-05,0.891035622847397
"cg23166246",-0.000231928115829523,0.821924544837906
"cg03766823",0.000775961574586535,0.0589321017627489
"cg26411549",0.00273970827749296,0.0621348381006833
"cg03262242",0.00118184634626239,0.49312137384818
"cg16834431",0.000789961590464041,0.0522952238086074
"cg04993605",0.000454180636840564,0.158396986771822
"cg02737621",-0.00343914772211992,0.106660897382706
"cg01807921",0.000309410236400372,0.649534593056554
"cg13075278",0.00082956228957084,0.0683652139006475
"cg19364137",4.29081419955796e-05,0.794321911986972
"ch.1.949135F",-0.000950154336867648,0.510900920252469
"cg03050907",-9.03286464518387e-05,0.714360823522805
"cg23682641",0.00025713137937372,0.700790735499492
"cg15064598",-1.70370728473621e-05,0.956452328659841
"cg24118052",0.00102746124579712,0.73807698970871
"cg09837361",0.00186811830906281,0.0146777856462535
"cg03375056",-0.000747843120754054,0.749110481902527
"cg26495864",7.20118087411755e-05,0.912404376517821
"cg02785792",0.000768143409015338,0.710807906054838
"cg21870545",-0.00194186931982874,0.606905550017967
"cg01925633",0.00141416527134487,0.0209354203697586
"cg09415386",-0.000197308966852129,0.799201280748164
"cg18135767",-0.000113798823681022,0.851250816556211
"cg12058544",0.00635218691473471,0.0728794551070166
"cg18289141",0.00594586218455114,0.0477413353302149
"cg10112249",-4.50445988364564e-05,0.971411023249245
"ch.1.30340112R",-2.02479836338949e-05,0.952288643429045
